date,beta,tstat,r2
2019-10-18,-0.051783945267431436,-2.365087484648822,0.007363988485745487
2019-10-21,-0.056257727400018866,-2.5581343149928215,0.008604434106671555
2019-10-22,-0.05953139074598085,-2.692716428971759,0.00952474862687247
2019-10-23,-0.06282569887913651,-2.826837183700571,0.010487011492785414
2019-10-24,-0.06448965867717642,-2.8887160808835923,0.010946073093121123
2019-10-25,-0.0661035950771165,-2.944522177628628,0.011368230633830745
2019-10-28,-0.06862669376114212,-3.035818275949191,0.012075467860732103
2019-10-29,-0.07182922768196451,-3.1562551563314645,0.01303984662593416
2019-10-30,-0.07612723041722921,-3.322753944875067,0.014431511771822225
2019-10-31,-0.07915693224705175,-3.4323265773522103,0.015384121307748355
2019-11-01,-0.07895856250789371,-3.406736729078563,0.015159046999596804
2019-11-04,-0.07838095718639954,-3.3617614791227344,0.01476730559782069
2019-11-05,-0.07800257462800833,-3.3275477574010863,0.014472580057038109
2019-11-06,-0.078935867111392,-3.349651545170674,0.014662663087443906
2019-11-07,-0.07863066002799708,-3.315549550013709,0.01436989711495329
2019-11-08,-0.07743121235681691,-3.247974833016287,0.013798116036289665
2019-11-11,-0.07517964057327459,-3.1371194032120737,0.012884240927156676
2019-11-12,-0.0714055213479407,-2.9712169925208562,0.011572895734486055
2019-11-13,-0.0676524739138846,-2.80725548711752,0.010343723816561012
2019-11-14,-0.062182570379107564,-2.571528555448196,0.008693989197880891
2019-11-18,-0.05479891960866427,-2.261428492965707,0.006736878034754867
2019-11-19,-0.04893690115708426,-2.015046906341338,0.005356319838869306
2019-11-21,-0.04387868368032824,-1.8020435304410294,0.004288375309498105
2019-11-22,-0.03931018761686787,-1.6085658193755665,0.003419940258064691
2019-11-25,-0.03377430562162875,-1.3772070035876889,0.0025092041451065805
2019-11-26,-0.028139201034630763,-1.1453045158375037,0.0017366636781047662
2019-11-27,-0.022523078832051117,-0.9149090769561182,0.001108926237177621
2019-11-28,-0.015319565073796861,-0.6214594952461597,0.0005119551472934081
2019-11-29,-0.007749767140484277,-0.31418703340059323,0.00013090261286907712
2019-12-02,-0.0005643548282646491,-0.022806300267232363,6.898235714869472e-07
2019-12-03,0.0059654998890778235,0.24018903979736497,7.650711019135947e-05
2019-12-04,0.010870744793793422,0.43644678853232516,0.00025256987830923894
2019-12-05,0.01566974950847711,0.6272147651580497,0.0005214764106983294
2019-12-06,0.02052377488518692,0.820732829890998,0.000892574453297823
2019-12-09,0.028527348636176855,1.1416000110334428,0.0017254666707470223
2019-12-10,0.03440149957147516,1.3764619322498441,0.0025064967152794715
2019-12-11,0.04162468099585284,1.661550531284772,0.0036481148994575996
2019-12-12,0.045373642493222927,1.8057452859157272,0.004305935813848527
2019-12-13,0.04861319436243784,1.9248389980636678,0.0048897725938118475
2019-12-16,0.05139326931009718,2.0247696308387493,0.005407853480111413
2019-12-17,0.05388803655966779,2.1114880897751265,0.0058782156797850815
2019-12-18,0.05508211083433684,2.1453540559295816,0.006067134972776889
2019-12-19,0.056958366559141806,2.205899749328599,0.006412191011928803
2019-12-20,0.05848924955242292,2.2523850578357356,0.006683463718374583
2019-12-23,0.06108512714157953,2.3355672252005126,0.0071826180175897925
2019-12-26,0.06215235763015658,2.3615446467230052,0.0073421047546221585
2019-12-27,0.06290178505919163,2.373345126174081,0.007415118636242446
2019-12-30,0.06332178457375998,2.371983525372064,0.007406675889641168
2020-01-02,0.0635854809421765,2.370655656671174,0.007398446830685468
2020-01-03,0.06357372623664755,2.3525756089254304,0.007286846324446317
2020-01-06,0.06476803214697702,2.3795499724161835,0.007453651950015683
2020-01-07,0.06484124441113938,2.368983437209575,0.007388090125044489
2020-01-08,0.06442632548264263,2.343815793417378,0.007233073979664328
2020-01-09,0.06451940388736138,2.3391673058040516,0.007204618233960236
2020-01-10,0.06406978526148539,2.313257928655443,0.007047019232406693
2020-01-13,0.06294039085574013,2.2642333383467896,0.006753486941213915
2020-01-14,0.061757058885397106,2.2184345520167583,0.006484797404935239
2020-01-15,0.060398281233497136,2.16161261166391,0.006158874425304051
2020-01-16,0.060833372565937543,2.1711715696115124,0.006213126516405487
2020-01-17,0.06149579630658627,2.189854976409358,0.006319838533638267
2020-01-20,0.06193385214538432,2.1964906663583954,0.006357953379749426
2020-01-21,0.0620004081782886,2.1925885680860073,0.006335526440772732
2020-01-22,0.06220108854561272,2.194756913300513,0.006347984000986684
2020-01-23,0.061858303910917505,2.1740197731934128,0.00622933670307424
2020-01-24,0.061847413429795974,2.1684376688450384,0.006197586362015395
2020-01-27,0.06193227697572787,2.1685288172134016,0.006198104163733453
2020-01-28,0.06259108473268551,2.1815050500469955,0.006272036980644047
2020-01-29,0.0613005097628211,2.122640611697023,0.005940105317108535
2020-01-30,0.05872882275330737,2.016910670022011,0.005366179595657439
2020-01-31,0.05565539416247911,1.902377540540512,0.004776860287576068
2020-02-03,0.05137223010712377,1.7460041313587373,0.004026862617384719
2020-02-04,0.04604401560235062,1.5550794762094,0.003197003914734542
2020-02-05,0.03965423452264924,1.327261708884445,0.0023309249752286876
2020-02-06,0.03395389657731141,1.1267344583960783,0.0016808973332075317
2020-02-07,0.02561390445204429,0.8432803732343619,0.0009422436841766135
2020-02-10,0.02153303238012789,0.7054744612702137,0.0006596364963339374
2020-02-11,0.016137054788692144,0.5249363889136719,0.0003653283066186175
2020-02-12,0.008432953609504378,0.27191402578615964,9.805038175736414e-05
2020-02-13,1.4934114330221807e-05,0.0004752945111195324,2.996087822282334e-10
2020-02-14,-0.004928221670599852,-0.15604416011393826,3.22930949282485e-05
2020-02-17,-0.00924426816142445,-0.2911257919557661,0.0001123935025433287
2020-02-18,-0.015311647745198612,-0.47593053062667934,0.00030032074849983825
2020-02-19,-0.022393484686581686,-0.6815395221444599,0.0006156633249591037
2020-02-20,-0.033436750794115226,-0.992656840140679,0.001305147946651486
2020-02-21,-0.03931654691923038,-1.139940987479714,0.0017204638879939615
2020-02-26,-0.04295326294777087,-1.2308643809590758,0.0020052905235790064
2020-02-27,-0.04695117668973765,-1.332089790869333,0.0023478739985464125
2020-02-28,-0.05066042160681987,-1.4236686744203633,0.002680900210695336
2020-03-02,-0.054240194651621776,-1.5066889333439235,0.0030017205588529494
2020-03-03,-0.05687458494622201,-1.5635134686551468,0.0032316635606949307
2020-03-04,-0.06420584584332292,-1.7429836928787974,0.004012998271062718
2020-03-05,-0.07217995527294316,-1.929107833549688,0.004911378711687453
2020-03-06,-0.07322218766597074,-1.9360488861450333,0.0049466100581290195
2020-03-09,-0.07811530479984355,-2.0510304023939705,0.005548256918449956
2020-03-10,-0.07855740036707534,-2.0483055552558675,0.005533606226572951
2020-03-11,-0.07861102520669302,-2.0367730719962616,0.005471810404212962
2020-03-12,-0.08521413459728275,-2.1884998572542704,0.006312068664078407
2020-03-13,-0.08962313804864395,-2.2878276561652324,0.0068939935686441745
2020-03-16,-0.09098566452232275,-2.3165060066947487,0.007066682818506087
2020-03-17,-0.09064016872137834,-2.302777080033977,0.006983751942017502
2020-03-18,-0.09382476083021266,-2.374975284473415,0.007425232785000291
2020-03-19,-0.09776156112941851,-2.455566796376604,0.007933647109213071
2020-03-20,-0.10046783089621124,-2.5194903964477597,0.008348589411089402
2020-03-23,-0.10010886249976603,-2.504837196522872,0.008252561120273172
2020-03-24,-0.10209643206868292,-2.5512094083653523,0.00855831065026369
2020-03-25,-0.10258648471956039,-2.5593875379291435,0.00861279412013305
2020-03-26,-0.10384111368622276,-2.582868994115384,0.008770165261165697
2020-03-27,-0.10729651167928037,-2.6663851701202668,0.009341111691653525
2020-03-30,-0.10791868490997941,-2.676824859780451,0.009413711410891756
2020-03-31,-0.1094944946398525,-2.7167347808096736,0.009693768668688763
2020-04-01,-0.11104933060005019,-2.7527600931320384,0.009949987044582831
2020-04-02,-0.11212379637395634,-2.7777212727739466,0.01012941588303684
2020-04-03,-0.11382437474626622,-2.8192533095053713,0.010431403782533488
2020-04-06,-0.11780841468913265,-2.9209640346234496,0.011189078682488751
2020-04-07,-0.11952268501003556,-2.9603729128780305,0.011489543281780534
2020-04-08,-0.12303152746430132,-3.0484162893386206,0.01217467446740439
2020-04-09,-0.12582500334804692,-3.116885988109692,0.012720685778576657
