date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown,fwd_1y1y,fwd_5y5y,spread_from_forward_file,pvalue_coint,coint_stat,alpha,beta,resid_std,half_life_days,cointegration_regime,cointegrated_5pct,cointegrated_5pct_smooth
2023-03-13,1.8019943827932696,1.916995364949064,0.1150009821557944,756,0.6514388367343773,0.9111731324635104,-0.588733178653142,0.0,2023-03-14,1.0,0.0113536373410596,0.0521808762824047,0.0408272389413451,5.218087628240475,1.1353637341059652,4.08272389413451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4609476.299809988,4169476.299809992,-1031462.431744463,5640938.731554441,6097827.058155123,-1928350.758345132,11.530678940760009,13.568076710718913,2.037397769958904,0.9417088861963459,-0.7437209060296583,5.334319053032243,0.6208025559664038,0.3920963372178983,62.1735359029028,none,False,False
2023-03-14,1.9718420603717544,1.890607362277434,-0.0812346980943203,756,0.6466578161200861,0.9108129335528368,-0.7991679601815634,0.0,2023-03-15,1.0,0.0036671399118901,0.1698476775784847,0.1661805376665945,16.984767757848473,0.366713991189016,16.618053766659457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4609476.299809988,4169476.299809992,-1031462.431744463,5640938.731554441,6097827.058155123,-1928350.758345132,11.592308775409755,13.713479980023568,2.1211712046138125,0.9417088861963459,-0.7437209060296583,5.334319053032243,0.6208025559664038,0.3920963372178983,62.1735359029028,none,False,False
2023-03-15,2.2136673021139863,1.1594581336508183,-1.0542091684631678,756,0.6419990785343596,0.9115242144344002,-1.8608482584854011,-1.0,2023-03-16,1.0,0.004353364111866,0.2418252417422319,0.2374718776303659,24.1825241742232,0.4353364111866042,23.747187763036592,0.0,0.0,0.0,0.0,1.0,5000.0,-5000.0,4609476.299809988,4164476.299809992,-1031462.431744463,5640938.731554441,6097827.058155123,-1933350.758345132,11.430644619456489,13.71323644947726,2.282591830020774,0.9522920570339709,-0.6446104465714758,5.37051111578385,0.6204322188628764,0.41845700697936,77.31314770097516,none,False,False
2023-03-16,2.107112927766819,1.115156247739018,-0.9919566800278008,756,0.6322872556186017,0.916513118968209,-1.772199330299758,-1.0,2023-03-17,1.0,0.0035368169519109,-0.1065543743471675,-0.1100911912990785,-10.655437434716752,0.3536816951910992,-11.009119129907852,-1.0,106554.37434716753,-3536.8169519109924,110091.19129907852,0.0,0.0,106554.37434716753,4716030.674157155,4271030.674157159,-1034999.248696374,5751029.92285352,6097827.058155123,-1826796.383997965,11.572663553701387,13.7829916895023,2.2103281358009106,0.9522920570339709,-0.6446104465714758,5.37051111578385,0.6204322188628764,0.41845700697936,77.31314770097516,none,False,False
2023-03-17,2.2241180491528567,0.7472534738250739,-1.4768645753277827,756,0.623613701363856,0.9215070972542552,-2.2793945732488385,-1.0,2023-03-20,3.0,0.003473867447612,0.1170051213860379,0.1135312539384258,11.700512138603791,0.3473867447612022,11.35312539384259,-1.0,-117005.1213860379,-3473.8674476120223,-113531.25393842589,0.0,0.0,-117005.1213860379,4599025.552771117,4154025.55277112,-1038473.116143986,5637498.668915094,6097827.058155123,-1943801.5053840028,11.41881034177874,13.797366920816325,2.378556579037582,0.9522920570339709,-0.6446104465714758,5.37051111578385,0.6204322188628764,0.41845700697936,77.31314770097516,none,False,False
2023-03-20,2.137735877588632,1.1654679819367704,-0.9722678956518618,756,0.6139691751493978,0.9307126060019132,-1.704325331549231,-1.0,2023-03-21,1.0,0.0093487395134381,-0.0863821715642245,-0.0957309110776627,-8.638217156422456,0.9348739513438176,-9.573091107766274,-1.0,86382.17156422457,-9348.739513438177,95730.91107766272,0.0,0.0,86382.17156422457,4685407.724335341,4240407.7243353445,-1047821.8556574242,5733229.579992756,6097827.058155123,-1857419.3338197784,11.441035490881736,13.725317590730924,2.284282099849189,0.9522920570339709,-0.6446104465714758,5.37051111578385,0.6204322188628764,0.41845700697936,77.31314770097516,none,False,False
2023-03-21,2.178697445713905,1.2278962906708255,-0.9508011550430796,756,0.6072418450771453,0.9360329234090584,-1.6645173061282803,-1.0,2023-03-22,1.0,0.000460216619146,0.0409615681252728,0.0405013515061267,4.096156812527285,0.0460216619146081,4.050135150612677,-1.0,-40961.56812527285,-460.216619146081,-40501.35150612677,0.0,0.0,-40961.56812527285,4644446.156210068,4199446.156210071,-1048282.0722765704,5692728.228486629,6097827.058155123,-1898380.901945052,11.435041650690048,13.792071295822051,2.357029645132004,0.9522920570339709,-0.6446104465714758,5.37051111578385,0.6204322188628764,0.41845700697936,77.31314770097516,none,False,False
2023-03-22,2.1218028068017194,0.7290481188226379,-1.3927546879790815,756,0.6000881278815225,0.941030825730078,-2.117723204566121,-1.0,2023-03-23,1.0,0.0024435355291831,-0.0568946389121856,-0.0593381744413687,-5.68946389121856,0.2443535529183194,-5.93381744413688,-1.0,56894.638912185605,-2443.535529183194,59338.1744413688,0.0,0.0,56894.638912185605,4701340.795122254,4256340.795122257,-1050725.6078057534,5752066.402927998,6097827.058155123,-1841486.2630328657,11.299618823339983,13.707492000510978,2.407873177170993,0.9611124449781606,-0.543169379130394,5.50108901545907,0.612323779812371,0.4507802705532179,100.2399689341268,none,False,False
2023-03-23,2.1146661642629248,0.7322083985485295,-1.3824577657143953,756,0.591422672363426,0.9492844192386826,-2.0793351266218565,-1.0,2023-03-24,1.0,0.0023343347105964,-0.0071366425387946,-0.009470977249391,-0.7136642538794646,0.2334334710596408,-0.9470977249391056,-1.0,7136.642538794647,-2334.3347105964085,9470.977249391057,0.0,0.0,7136.642538794647,4708477.437661048,4263477.437661052,-1053059.9425163495,5761537.38017739,6097827.058155123,-1834349.6204940716,11.28342078502671,13.865430386381018,2.582009601354308,0.9611124449781606,-0.543169379130394,5.50108901545907,0.612323779812371,0.4507802705532179,100.2399689341268,none,False,False
2023-03-24,2.3871352948424462,0.830678362530159,-1.5564569323122872,756,0.5832986088993103,0.9573797133436888,-2.235012410842101,-1.0,2023-03-27,3.0,0.0008189066831523,0.2724691305795215,0.2716502238963691,27.24691305795215,0.081890668315232,27.16502238963692,-1.0,-272469.1305795215,-818.9066831523206,-271650.2238963692,0.0,0.0,-272469.1305795215,4436008.307081526,3991008.3070815294,-1053878.849199502,5489887.1562810205,6097827.058155123,-2106818.751073593,11.068891708286554,13.93736091913067,2.8684692108441165,0.9611124449781606,-0.543169379130394,5.50108901545907,0.612323779812371,0.4507802705532179,100.2399689341268,none,False,False
