date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown
2019-05-13,2.6149463595425795,2.4483624691871912,-0.16658389035538823,756,-0.5912600734751868,0.9439485495875528,0.44989335838839506,1.0,2019-05-14,1.0,0.01650765980090174,0.01152924598026761,-0.004978413820634131,1.152924598026761,1.6507659800901742,-0.4978413820634131,1.0,11529.245980267611,16507.659800901743,-4978.413820634131,0.0,0.0,11529.245980267611,5548659.939543503,5233659.939543503,-1099452.5265744778,6648112.466117973,6097827.058155123,-864167.1186116198
2019-05-14,2.6841689562520763,2.407696225271667,-0.27647273098040914,756,-0.5879579402526436,0.9439729809491587,0.32997258985001676,1.0,2019-05-15,1.0,0.005243397540111161,0.06922259670949682,0.06397919916938566,6.922259670949682,0.5243397540111161,6.397919916938566,1.0,69222.59670949682,5243.397540111161,63979.19916938566,0.0,0.0,69222.59670949682,5617882.536253001,5302882.536253001,-1094209.1290343667,6712091.665287359,6097827.058155123,-794944.5219021225
2019-05-15,2.7998426790281528,2.437301833753329,-0.36254084527482355,756,-0.5845821482752407,0.9435580100364367,0.23532342541593465,0.0,2019-05-16,1.0,0.004611873175087489,0.11567372277607646,0.11106184960098897,11.567372277607646,0.46118731750874886,11.106184960098897,1.0,115673.72277607647,4611.873175087489,111061.84960098896,1.0,5000.0,110673.72277607647,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-16,2.767842724522972,2.3599609142012183,-0.40788181032175386,756,-0.5821028099957087,0.9433163408187262,0.18468989896087715,0.0,2019-05-17,1.0,0.003875933314167135,-0.03199995450518056,-0.035875887819347696,-3.199995450518056,0.3875933314167135,-3.5875887819347696,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-17,2.7821058938291454,2.4872018713252415,-0.2949040225039039,756,-0.579790463543061,0.943025174951464,0.3020984472167667,0.0,2019-05-20,3.0,0.0037434062669650103,0.014263169306173218,0.010519763039208208,1.4263169306173218,0.37434062669650103,1.0519763039208208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-20,2.784498388111989,2.4590912051420366,-0.3254071829699523,756,-0.5783631241223023,0.9431836990132586,0.2681937160459705,0.0,2019-05-21,1.0,0.01099403083327033,0.0023924942828434936,-0.008601536550426836,0.23924942828434936,1.099403083327033,-0.8601536550426836,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-21,2.729460661401273,2.3783335910424324,-0.3511270703588405,756,-0.5751147483487901,0.942637338117394,0.2376180837874413,0.0,2019-05-22,1.0,0.00491700462423772,-0.05503772671071605,-0.05995473133495377,-5.503772671071605,0.49170046242377197,-5.995473133495377,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-22,2.7805682492003,2.3594419327714404,-0.42112631642885967,756,-0.5725743423282531,0.9423738338704082,0.160709073677676,0.0,2019-05-23,1.0,0.004566501096925357,0.05110758779902724,0.046541086702101886,5.110758779902724,0.4566501096925357,4.654108670210189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-23,2.831074741290608,2.389034584893837,-0.4420401563967711,756,-0.5706978931933495,0.9422020476393476,0.1365500500863118,0.0,2019-05-24,1.0,0.0027472192831270448,0.050506492090308,0.04775927280718095,5.0506492090308,0.2747219283127045,4.775927280718095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-24,2.872358617230097,2.285669702857557,-0.58668891437254,756,-0.5694249045296799,0.942158130744483,-0.01832389837703604,0.0,2019-05-27,3.0,0.004254532643189535,0.0412838759394889,0.037029343296299366,4.12838759394889,0.4254532643189535,3.7029343296299366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
2019-05-27,2.8182249341236023,2.4749967427627886,-0.34322819136081373,756,-0.5671822139386006,0.9414385934097225,0.23788489673730642,0.0,2019-05-28,1.0,0.011450018256021544,-0.05413368310649469,-0.06558370136251623,-5.413368310649469,1.1450018256021544,-6.558370136251623,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,5733556.259029077,5413556.259029077,-1089597.2558592793,6823153.514888348,6097827.058155123,-684270.7991260458
