date,dc_1y,dc_2y,dc_5y,dc_10y,z_1y,z_2y,z_5y,z_10y,fwd_1y1y,fwd_5y5y,spread_5y5y_minus_1y1y
2023-05-25,366,731,1827,3653,12.446330757980185,11.178281993208161,11.223567566858982,11.709456745210044,9.921117483443819,12.19773641039259,2.276618926948771
2023-05-26,366,731,1827,3653,12.407352432857245,11.14168503945483,11.17619590138359,11.659408625171341,9.886859506991218,12.144987925892426,2.258128418901208
2023-05-29,366,731,1827,3653,12.43975986327408,11.181796140204003,11.187938026085554,11.679256516417546,9.934517647808416,12.173016904023815,2.2384992562153982
2023-05-30,366,731,1827,3653,12.39558425311371,11.126888874289275,11.148529603183732,11.619217421498739,9.869097115389591,12.092157900875232,2.2230607854856412
2023-05-31,366,731,1827,3653,12.430000000000007,11.137553513349907,11.139119966176004,11.629170756441543,9.856484437840463,12.121652501025459,2.265168063184996
2023-06-01,366,731,1827,3653,12.416634618289702,11.106891084789726,11.109715818791166,11.599131337066337,9.808881374827738,12.090972429337587,2.2820910545098485
2023-06-02,366,731,1827,3653,12.423301249865503,11.118177848815037,10.986643911509741,11.43911392590562,9.824692120109702,11.893677878638197,2.0689857585284948
2023-06-05,366,731,1827,3653,12.296333675285688,10.918307797710636,10.777860897398185,11.249031802449693,9.553486089947082,11.722466418834966,2.1689803288878835
2023-06-06,366,731,1827,3653,12.229572917952192,10.863179061194185,10.728268971188438,11.199006285662595,9.50974573286425,11.672004280935088,2.162258548070838
2023-06-07,366,731,1827,3653,12.208360477747737,10.916911857241196,10.853359717979938,11.30895337428839,9.636849776261514,11.766670507890154,2.129820731628641
2023-06-09,366,731,1827,3653,12.032860486937036,10.731735679040177,10.744598309576503,11.248902391884874,9.44221911595957,11.755781021268108,2.3135619053085374
2023-06-12,366,731,1827,3653,12.00000000000001,10.691845383975874,10.756204929433189,11.258817397494925,9.39544865011317,11.763987853764245,2.368539203651075
2023-06-13,366,731,1827,3653,12.112012010911254,10.810070192997024,10.936571381407711,11.408760142490703,9.519742716879831,11.88321896548108,2.3634762486012484
2023-06-14,366,731,1827,3653,12.074076909523068,10.769438412165776,10.881106630063119,11.328753494282061,9.476474982410267,11.778454226783808,2.301979244373541
2023-06-15,366,731,1827,3653,12.0061951002282,10.742895791632456,10.821408536505285,11.228753187093709,9.490442393889452,11.637819420031569,2.1473770261421166
2023-06-16,366,731,1827,3653,12.032862734459936,10.758012847522647,10.761395436923005,11.19211538992917,9.494236575757785,11.624747550878878,2.1305109751210924
2023-06-19,366,731,1827,3653,12.012229627411642,10.761224603350005,10.779310711988032,11.218680471670561,9.520821305428084,11.660034898963211,2.1392135935351266
2023-06-20,366,731,1827,3653,11.945587264493906,10.719403805756421,10.793077252822858,11.218665118595329,9.503346913999366,11.646122204410991,2.1427752904116257
2023-06-21,366,731,1827,3653,11.949999999999994,10.738494614408523,10.716529785833462,11.07868449850744,9.536834556149776,11.442223128601592,1.905388572451816
2023-06-22,366,731,1827,3653,12.014824901386035,10.75304244901043,10.713859529784099,11.068674562392577,9.502074627354196,11.42482195148904,1.9227473241348445
2023-06-23,366,731,1827,3653,11.929690042869057,10.632223264688268,10.616846351200238,10.998680394260084,9.346303464929306,11.38204266889331,2.0357392039640043
2023-06-26,366,731,1827,3653,11.88451609025558,10.569747749713066,10.537720710173293,10.898679990618486,9.266890688428608,11.261016624957087,1.9941259365284782
2023-06-27,366,731,1827,3653,11.869535573921052,10.547778399578366,10.556179937249377,10.87784172916253,9.23808082107811,11.200616317884048,1.9625354968059376
2023-06-28,366,731,1827,3653,11.866890132384377,10.56625710036534,10.616720116224187,10.923356500738235,9.277244687100538,11.2310115269999,1.9537668398993624
2023-06-29,366,731,1827,3653,11.78404112474234,10.482977321750898,10.598582472507424,10.92346335663672,9.193554277831929,11.249477275199983,2.0559229973680537
2023-06-30,366,731,1827,3653,11.682460395569061,10.341770720470134,10.388844365125172,10.733619257180639,9.013568226698808,11.07966067622459,2.0660924495257813
2023-07-03,366,731,1827,3653,11.545135082480451,10.21698119886587,10.280000000000001,10.61398135755427,8.901067574481146,10.949157907589612,2.0480903331084654
2023-07-04,366,731,1827,3653,11.569974223781475,10.28427807963752,10.360419049697489,10.694074960547795,9.009936211099333,11.028923177555484,2.0189869664561506
2023-07-05,366,731,1827,3653,11.60045998649335,10.364463124691724,10.49083770018122,10.82415738632454,9.138825044186571,11.158665971543913,2.0198409273573414
2023-07-06,366,731,1827,3653,11.663192643956455,10.413353408333315,10.581257270953625,10.914251020783073,9.174136728278182,11.248430702754009,2.074293974475827
2023-07-07,366,731,1827,3653,11.555981394903657,10.262834950248777,10.381688482468054,10.69010413320588,8.981197169916499,10.9995511338016,2.018353963885101
2023-07-10,366,731,1827,3653,11.58114812212936,10.316405675567907,10.422975355997144,10.724731606280713,9.062592515760892,11.027478408393442,1.9648858926325499
2023-07-11,366,731,1827,3653,11.603484493684245,10.30539827183663,10.393411257765916,10.704837226819762,9.018915936879313,11.017313019097163,1.9983970822178492
2023-07-12,366,731,1827,3653,11.611137318501164,10.31445251840779,10.353850478077975,10.654950667382623,9.029341691045435,10.95703797921903,1.9276962881735962
2023-07-13,366,731,1827,3653,11.644042540859179,10.404442886976707,10.45194636511162,10.74498636370651,9.175266993854759,11.038964947643581,1.8636979537888223
2023-07-14,366,731,1827,3653,11.665589070904957,10.478787128106525,10.544713861825695,10.835099132653436,9.301398977971775,11.126406859540428,1.8250078815686521
2023-07-17,366,731,1827,3653,11.559999999999992,10.388904971314128,10.502784010269695,10.81545788383773,9.226945418174925,11.129188447493421,1.9022430293184964
2023-07-18,366,731,1827,3653,11.493714407557798,10.304453582888984,10.410009041286926,10.755582738505009,9.124671954857355,11.102428192294301,1.977756237436946
2023-07-19,366,731,1827,3653,11.517468390767437,10.374446107673506,10.513217632188244,10.86567911528753,9.240055989560435,11.219458657203884,1.9794026676434484
2023-07-20,366,731,1827,3653,11.551877717945436,10.448175335258991,10.637391105539763,11.015721376817256,9.352414040822076,11.395553622470933,2.043139581648857
2023-07-21,366,731,1827,3653,11.436687318442118,10.335294057661514,10.533659377546979,10.945880001923314,9.241813665720144,11.359864963205425,2.1180512974852803
2023-07-24,366,731,1827,3653,11.424131528002434,10.318911921017214,10.499243562894357,10.879247830756245,9.221672017971482,11.26076810626473,2.039096088293247
2023-07-25,366,731,1827,3653,11.325338944917496,10.238198305606439,10.469711927147408,10.866424106391182,9.158739176354347,11.264779363473076,2.1060401871187295
2023-07-26,366,731,1827,3653,11.264037376202563,10.197858228964375,10.460180285674348,10.856558268102567,9.139016557582181,11.254576866917375,2.1155603093351942
2023-07-27,366,731,1827,3653,11.269920408398072,10.24147886405049,10.550639729161905,10.986627514550573,9.21976433267304,11.424574921906427,2.204810589233386
2023-07-28,366,731,1827,3653,11.294022105007162,10.267079764286757,10.551111594542517,10.97679377764349,9.246838676074432,11.404349540381364,2.157510864306932
2023-07-31,366,731,1827,3653,11.228436437213984,10.22082355602738,10.472400628840607,10.897262042754052,9.219615476888453,11.323991431207459,2.1043759543190053
2023-08-01,366,731,1827,3653,11.270000000000003,10.255102958251605,10.476147746983845,10.867416282734066,9.246720282557042,11.260285972877071,2.0135656903200285
2023-08-02,366,731,1827,3653,11.304380133168612,10.244489722547168,10.406349671176706,10.77757879847059,9.191829682782227,11.150260470750206,1.9584307879679788
2023-08-03,366,731,1827,3653,11.068804462533466,10.109113775113808,10.523478179778945,10.967679079870063,9.155120054286957,11.413909984256222,2.2587899299692644
2023-08-04,366,731,1827,3653,11.093263772981722,10.088627119913497,10.483580638818047,10.917868484772185,9.090360444872946,11.354102664835985,2.2637422199630386
2023-08-07,366,731,1827,3653,11.136873783736355,10.147256733360766,10.515185066362175,10.959721899239238,9.163776612154816,11.406291758178089,2.2425151460232726
2023-08-08,366,731,1827,3653,11.054261793579867,10.016030534415844,10.377727912403234,10.858570213552854,8.984700931395295,11.34177227825357,2.357071346858275
2023-08-09,366,731,1827,3653,11.062882275557339,10.025153721304857,10.456183992797751,10.949791747543113,8.994318009036096,11.445877477842071,2.451559468805975
2023-08-10,366,731,1827,3653,11.006216449848093,9.974148533559578,10.46672521564238,10.989831803041984,8.948887958002661,11.515704035177299,2.5668160771746376
