date,fwd_1y1y,fwd_5y5y,spread_5y5y_minus_1y1y,ipca_mom,ipca_12m,ipca_3m_saar,release_date_x,ibc_br_sa_level,release_date_y,available_date,focus_ipca_12m,focus_ipca_12m_chg_5d,focus_ipca_12m_chg_21d,inflation_expectations_gap,inflation_persistence_gap,spread_chg_5d,spread_chg_21d,ibc_br_sa_3m_change,spread_change_fwd_5d,spread_change_fwd_21d,spread_change_fwd_63d,inflation_expectations_gap_z,inflation_persistence_gap_z,spread_5y5y_minus_1y1y_diff1,inflation_expectations_gap_diff1,inflation_persistence_gap_diff1,spread_change_1d_bp,spread_realized_vol_bp,rebalance_flag,desired_position_raw,desired_position,signal_strength,predicted_change_bp,factor_z_current,train_beta,train_tstat,train_r2,train_alpha,train_target_std_bp,vol_scalar,position_target,position_active,turnover,gross_pnl_bp,transaction_cost_bp,net_pnl_bp,cum_gross_pnl_bp,cum_net_pnl_bp,running_peak_bp,drawdown_bp
2010-03-02,12.301709644495816,13.064079733362476,0.7623700888666587,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-02,4.69,0.1700000000000008,-0.0599999999999996,0.0976746196629303,-1.6027844901871529,-0.2320791812361129,-0.3659564314106196,0.0,-0.2698184209322321,-0.8255216021521239,-0.9563940510537882,0.4871369079193742,-0.2379592888696368,-0.103532374189541,0.29,0.29,-10.353237418954109,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-03,12.377592996411993,12.997268092901514,0.619675096489523,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-03,4.42,-0.2199999999999997,-0.1799999999999997,-0.1723253803370701,-1.872784490187153,-0.4363870534850331,-0.5753991897212494,0.0,-0.2670055184669877,-0.5710848281678765,-0.7179431711376444,0.3406754975703062,-0.3170157576377303,-0.1426949923771356,-0.2700000000000004,-0.2700000000000002,-14.269499237713568,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-04,12.374803259162048,12.956958928885289,0.5821556697232388,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-04,4.36,-0.4399999999999995,-0.1499999999999994,-0.2323253803370697,-1.932784490187153,-0.351463735250812,-0.4881871215729241,0.0,-0.2952100971021174,-0.6268632804847343,-0.6075260537988568,0.3081285174927358,-0.3345838618084177,-0.0375194267662841,-0.0599999999999996,-0.0599999999999998,-3.751942676628417,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-05,12.33479069747714,12.962752569575088,0.6279618720979485,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-05,4.82,-0.0999999999999996,0.3100000000000005,0.2276746196629302,-1.472784490187153,-0.2435560267147103,-0.2489212934721809,0.0,-0.3788550184609108,-0.7145617093827568,-0.6537609021960655,0.5576553647541105,-0.1998950631664808,0.0458062023747096,0.4599999999999999,0.4599999999999999,4.580620237470967,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-08,12.28818900402635,12.900723477257948,0.612534473231598,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-08,4.96,0.5599999999999996,0.6799999999999997,0.3676746196629299,-1.3327844901871533,-0.2533679898246017,-0.3218216188886503,0.0,-0.4282271561520067,-0.6541325047592109,-0.738091344474979,0.6335983182684418,-0.1589028201015436,-0.0154273988663504,0.1399999999999997,0.1399999999999996,-1.5427398866350472,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-09,12.238643020552864,12.73119468848729,0.4925516679344266,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-09,4.44,-0.25,-0.0999999999999996,-0.1523253803370696,-1.8527844901871529,-0.2698184209322321,-0.4692667098281422,0.0,-0.4060345293112722,-0.5108229099622488,-0.6510092712344484,0.3515244909294966,-0.3111597229141677,-0.1199828052971714,-0.5199999999999996,-0.5199999999999996,-11.998280529717142,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-10,12.322146940568812,12.674816518591348,0.3526695780225353,0.78,4.831571873002205,7.868175217852258,2010-03-10,94.04033,2010-02-15,2010-03-10,4.52,0.0999999999999996,0.2699999999999996,-0.3115718730022054,-3.3481752178522584,-0.2670055184669877,-0.6468712668144859,0.0,-0.186449809646728,-0.4640112399260765,-0.6120962081808798,0.2651412838595772,-0.7490127242391783,-0.1398820899118913,-0.1592464926651358,-1.4953907276651055,-13.988208991189133,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-11,12.412765475062848,12.69971104768397,0.2869455726211214,0.78,4.831571873002205,7.868175217852258,2010-03-10,94.04033,2010-02-15,2010-03-11,4.26,-0.1000000000000005,-0.0200000000000004,-0.5715718730022052,-3.608175217852258,-0.2952100971021174,-0.6517741176623754,0.0,0.0208344967824735,-0.3168734685424752,-0.5840529429999446,0.1241043701901046,-0.8251411756454904,-0.0657240054014138,-0.2599999999999998,-0.2599999999999998,-6.572400540141388,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-12,12.404931293038102,12.65403814667514,0.2491068536370377,0.78,4.831571873002205,7.868175217852258,2010-03-10,94.04033,2010-02-15,2010-03-12,5.31,0.4899999999999993,0.5599999999999996,0.4784281269977946,-2.5581752178522583,-0.3788550184609108,-0.654859318383494,0.0,0.0362411761612123,-0.3061543385272073,-0.5704486778984402,0.6936765215475903,-0.5176993526584607,-0.0378387189840837,1.0499999999999998,1.0499999999999998,-3.7838718984083726,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-03-15,12.38800226458434,12.572309581663932,0.1843073170795914,0.78,4.831571873002205,7.868175217852258,2010-03-10,94.9433,2010-03-15,2010-03-15,4.8,-0.1600000000000001,0.2199999999999997,-0.0315718730022052,-3.068175217852258,-0.4282271561520067,-0.7462967340698494,0.9029699999999964,0.0728022607326953,-0.2943403105140517,-0.5314877350494757,0.4170271908882402,-0.6670282381093037,-0.0647995365574463,-0.5099999999999998,-0.5099999999999998,-6.47995365574463,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
