date,factor,horizon_days,training_window,rebalance_every,alpha,beta,tstat,r2,factor_z_current,predicted_change_bp,signal_strength,desired_position_raw,desired_position,train_target_std_bp,vol_scalar
2019-08-29,inflation_expectations_gap,21,756,5,0.06312370443158151,-0.047434812246890334,-0.7617913439092328,0.010485296325613791,0.2583457733402414,5.0869121178409475,0.10981139359863558,0.0,0.0,46.324083058573926,0.6881301549641878
2019-09-05,inflation_expectations_gap,21,756,5,0.06257856231512796,-0.05128869761187908,-0.814681337119448,0.012245024446956077,0.3249069534249614,4.591450782891823,0.09906222780100968,0.0,0.0,46.34915734092774,0.7334593373910956
2019-09-12,inflation_expectations_gap,21,756,5,0.06285512373979907,-0.0531965480974063,-0.8329204206237367,0.013177716417833829,0.011801614778150662,6.222731857162612,0.13428197307469086,0.0,0.0,46.34078361137409,0.780434969083487
2019-09-19,inflation_expectations_gap,21,756,5,0.061491539642699676,-0.05122804995012592,-0.7906678359271148,0.012234440332884677,-0.029062031612016127,6.298033084977217,0.1359844243236703,0.0,0.0,46.31437104875063,0.8342475112588161
2019-09-26,inflation_expectations_gap,21,756,5,0.05994162598979351,-0.046297527474657846,-0.7098930324871581,0.010034351351336124,0.09811593941667426,5.539910058894817,0.11986422113586966,0.0,0.0,46.218212627562686,0.7286762559856229
2019-10-03,inflation_expectations_gap,21,756,5,0.057345084150934214,-0.038949704365443254,-0.5997391844199534,0.00716085599266203,0.01946164193849707,5.6587058950963645,0.12294062790416169,0.0,0.0,46.027956677654245,0.7116997717325066
2019-10-10,inflation_expectations_gap,21,756,5,0.053598106439926116,-0.027343244064485496,-0.4262607475029048,0.0035921253333255354,0.6996714487925356,3.4466819250639644,0.07554868481128389,0.0,0.0,45.62199770483855,0.7425942790333644
2019-10-17,inflation_expectations_gap,21,756,5,0.05089627926821824,-0.015231322134237835,-0.2348517744674681,0.001131503632422759,0.5981381938026469,4.178584375761894,0.09228254199210795,0.0,0.0,45.2803345633809,0.7130068669868376
2019-10-24,inflation_expectations_gap,21,756,5,0.04928164597988416,-0.008751814590445217,-0.1303278274677234,0.0003754163690752321,0.26259113971024406,4.6983497012046405,0.10401688230175275,0.0,0.0,45.16910714142285,0.7040112884837036
2019-10-31,inflation_expectations_gap,21,756,5,0.051065933432945014,-0.008999312399523745,-0.13129398967514117,0.0003960061591999908,0.5892445337593089,4.5763137793933275,0.10119462303352963,0.0,0.0,45.222894677684806,0.7146661174765215
2019-11-07,inflation_expectations_gap,21,756,5,0.05209655973728864,-0.01581158227148543,-0.23358875565807363,0.001226014855521429,0.6632419939050103,4.160965438475554,0.09214391119546189,0.0,0.0,45.15724787988468,0.6126857848636448
2019-11-14,inflation_expectations_gap,21,756,5,0.05480067139596779,-0.030740631199078175,-0.4825243734227683,0.004703363860989351,0.9611174410723227,2.5255314600961767,0.056343560935473457,0.0,0.0,44.823781425325606,0.5968723897001996
2019-11-25,inflation_expectations_gap,21,756,5,0.05588680613005183,-0.04572799873501297,-0.7398174682224028,0.010487011492785525,1.076901834517772,0.6642240403489992,0.014875044269515391,0.0,0.0,44.653584104636664,0.5773084289970739
2019-12-02,inflation_expectations_gap,21,756,5,0.053926640925945256,-0.053825988306511426,-0.8476530214852132,0.014431511771822225,1.0609424613778393,-0.31796355940597737,-0.007096451700908317,0.0,0.0,44.80599217849666,0.5809777230056525
