date,fwd_1y1y,fwd_5y5y,spread_5y5y_minus_1y1y,ipca_mom,ipca_12m,ipca_3m_saar,release_date_x,ibc_br_sa_level,release_date_y,available_date,focus_ipca_12m,focus_ipca_12m_chg_5d,focus_ipca_12m_chg_21d,inflation_expectations_gap,inflation_persistence_gap,spread_chg_5d,spread_chg_21d,ibc_br_sa_3m_change
2013-11-12,11.853736589725283,12.785503381902608,0.9317667921773244,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.90487,2013-10-15,2013-11-12,5.85,-0.3700000000000001,-0.09000000000000075,0.01248707228393986,1.111213047051951,-0.24222379078042866,-0.2982651507140942,0.0
2013-11-13,11.704763858787404,12.704916599187532,1.0001527404001287,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.90487,2013-10-15,2013-11-13,5.4,-0.7599999999999998,-0.8599999999999994,-0.43751292771605943,0.6612130470519517,-0.12186396712061587,-0.2689256340722377,0.0
2013-11-14,11.622113721412708,12.577763373594795,0.955649652182089,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.90487,2013-10-15,2013-11-14,5.91,-0.2599999999999998,0.6600000000000001,0.07248707228394036,1.1712130470519515,-0.1593456104071791,-0.24595286611217482,0.0
2013-11-18,11.530002618925494,12.426383241750404,0.8963806228249105,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-15,5.97,-0.2400000000000002,-0.3100000000000005,0.13248707228393997,1.2312130470519511,-0.13445086316674448,-0.2381260373350642,-0.007190000000008467
2013-11-19,11.602844693023506,12.60611882189826,1.0032741288747538,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-19,6.08,0.6799999999999997,0.0600000000000005,0.24248707228394029,1.3412130470519514,-0.053418914002412166,-0.03910073056620966,-0.007190000000008467
2013-11-21,11.774178033166184,12.77527753798504,1.001099504818857,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-21,5.45,0.04999999999999982,-0.7699999999999996,-0.3875129277160596,0.7112130470519515,0.06933271264153251,-0.06543335121556382,-0.007190000000008467
2013-11-22,11.78783467948945,12.78836471942113,1.0005300399316803,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-22,5.46,-0.4500000000000002,-0.9000000000000004,-0.3775129277160598,0.7212130470519513,0.00037729953155163365,-0.08144773439033615,0.0
2013-11-25,11.850877177998154,12.9287572988118,1.0778801208136457,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-25,5.9,-0.0699999999999994,-0.25,0.06248707228394057,1.1612130470519517,0.12223046863155673,0.19789036747352995,0.0
2013-11-26,11.724590762979847,12.965883041770663,1.2412922787908176,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-26,6.06,-0.020000000000000462,-0.1800000000000006,0.22248707228393982,1.321213047051951,0.3449116559659071,0.35010796673287103,0.0
2013-11-27,11.7628060906523,13.024998164432544,1.262192073780243,0.57,5.83751292771606,4.738786952948049,2013-11-10,103.89768,2013-11-15,2013-11-27,6.04,0.009999999999999787,-0.2400000000000002,0.20248707228394025,1.3012130470519514,0.25891794490548925,0.3932991112718369,0.0
